function	occ	token	site	via	code	disposition	reason
anonymize_video_batch	1	arg_match	ffmpeg.R:1870	anonymize_video_batch	hardware <- rlang::arg_match(hardware)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
anonymize_video_batch	2	check_token	ffmpeg.R:1872	anonymize_video_batch	check_token(audio_codec, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
anonymize_video_batch	3	cli_abort	ffmpeg.R:1875	anonymize_video_batch	cli::cli_abort("{.arg jobs} must be a data frame with one row per input.")	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
anonymize_video_batch	4	cli_abort	ffmpeg.R:1878	anonymize_video_batch	cli::cli_abort("{.arg jobs} must have at least one row.")	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
anonymize_video_batch	5	cli_abort	ffmpeg.R:1881	anonymize_video_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
anonymize_video_batch	6	cli_abort	ffmpeg.R:1887	anonymize_video_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
anonymize_video_batch	7	cli_abort	ffmpeg.R:1898	anonymize_video_batch	cli::cli_abort(c(	excluded-shape	jobs-shape / missing-column / retired-argument guard: above the sweeps (M61 boundary)
anonymize_video_batch	8	cli_abort	ffmpeg.R:1916	anonymize_video_batch	cli::cli_abort("The {.field {col}} column of {.arg jobs} must be character (no {	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
anonymize_video_batch	9	check_batch_codec_col	ffmpeg.R:1931	anonymize_video_batch	check_batch_codec_col(jobs, "video_codec")	swept-helper	swept via the shared helper's per-cell loop (locator added inside the helper)
anonymize_video_batch	10	check_batch_codec_col	ffmpeg.R:1932	anonymize_video_batch	check_batch_codec_col(jobs, "audio_codec")	swept-helper	swept via the shared helper's per-cell loop (locator added inside the helper)
anonymize_video_batch	11	cli_abort	ffmpeg.R:1940	anonymize_video_batch	cli::cli_abort(c(	excluded-path	input/output path guard: the path is its own locator (M62/M63 family)
anonymize_video_batch	12	check_token	ffmpeg.R:1968	anonymize_video_batch	check_token(video_codec, allow_null = TRUE)	excluded-arg	argument-delivered: applies to every row; no locator (AC2 complement)
anonymize_video_batch	13	check_batch_audio_col	ffmpeg.R:1971	anonymize_video_batch	check_batch_audio_col(jobs, "audio_stream",	excluded-coltype	column type/NA guard names the column (type-vs-value boundary candidate row)
